date,Close,LA,Close_ADR,LA_ADR,Volume_ADR,SMA10,DIF12-26,MACD9,OSC,BIAS5,BIAS10,BIAS20,AR10,Oscillators,5-10MA-Osc,CCI14,CCI28,CCI42,PYS12,PYS24,BR10,MTM10,MA10,ACC10,ATR14,RSI 6,RSI 12,BBand width,RC12,"ERC(12, 12)",9-25MI,HL-Osc,TRIX9,TRIX15,0,ADX10,ADX10,"K(9,3)",J,WA/D,VHF10,Volume,MA5,MA10,MA20,MA60,PVC10,VRC12,OBV,EMV,EMVA10,MFI6,VR10,VA-Osc,FinMaintanR,TAIEXClose,LegalPerson5,LegalPerson10,2303Close,SecurityAssetRate,SecurityBalance,BalanceFinance,BuyAndSellSuper,SecurityTrader5,SecurityTrader10,MainForce5,MainForces10,Volatility
2018/9/10,264.5,0,41.7189,0,14256084,259.6,6.55,5.5,1.06,0.01,0.02,0.05,0.75,53.71,2.6,73.99,104.41,94.85,0.75,0.63,12,19.5,17.7,15,5.21,0.71,0.69,0.07,0.08,0.06,25.84,62.5,0.47,0.32,45.12,16.29,33.84,0.75,0.78,32,0.37,62852,48308,49672,33202,32570,0.27,2.65,-201770,1.43,2.18,68.95,3.52,0,1.76,10725.8,12650,20595417,15.55,0.4,3858,9603,-6800,5874,1661309,19610,13736,0.23
2018/9/11,260,1,41.4772,0,6824875,260.65,6.29,5.66,0.64,-0.01,0,0.03,0.61,52.67,2.05,31.3,75.83,69.84,0.75,0.58,2.77,10.5,18.15,4.5,5.54,0.55,0.61,0.05,0.07,0.07,25.9,-15.38,0.46,0.33,39.39,23.02,33.08,0.64,0.52,27.5,0.21,44981,49013,50129,34577,32300,-0.1,1.91,-246751,-4.59,1.55,54.52,2.24,-12267.55,1.73,10752.3,2597,20598074,15.65,0.35,3399,9670,-5007,-3753,1657556,9760,13513,0.24
2018/9/12,260.5,0,41.4121,0,12509668,260.8,6,5.73,0.28,-0.01,0,0.03,0.42,52.51,1.2,19.68,72.39,62.88,0.75,0.63,1.5,1.5,16.55,-16,5.64,0.56,0.61,0.05,0.06,0.06,25.95,50,0.44,0.33,36.24,21.18,32.4,0.58,0.42,30,0.27,38416,46155,48207,35536,32262,-0.2,1.47,-208335,-0.78,0.78,55.01,2.11,9604,1.73,10722.57,8876,20606373,15.4,0.36,3493,9810,-5466,777,1658333,18990,18213,0.24
2018/9/13,255,1,40.8451,0,10303817,259.95,5.36,5.65,-0.29,-0.02,-0.02,0.01,0.28,51.37,0.85,-17.05,42.46,40.49,0.67,0.63,0.64,-8.5,13.25,-33,5.93,0.4,0.52,0.05,0.02,0.06,26.12,-7.14,0.39,0.33,31.36,26.98,29.91,0.42,0.1,24.5,0.29,37959,45791,46741,36476,32352,-0.19,-0.06,-246294,-5.57,-0.72,38.55,1.43,-20439.46,1.69,10727.23,-4852,20601162,15.6,0.31,3170,10329,1531,-7489,1650844,8714,16203,0.25
2018/9/14,261,0,40.371,1,9624463,260.45,5.13,5.55,-0.41,0,0,0.03,0.39,50.84,-0.25,2.83,66.45,52.08,0.67,0.67,1.67,5,12.1,-11.5,6.18,0.56,0.59,0.05,0.01,0.05,26.28,100,0.35,0.33,30.35,23.69,28.15,0.45,0.28,30.5,0.31,40034,44848,43744,37496,32282,-0.08,-0.31,-206260,2.81,0.19,38.49,2.56,31137.56,1.73,10868.14,12956,20614220,15.7,0.34,3392,10083,-4555,5350,1656194,17046,11696,0.26
2018/9/17,258,0,41.282,0,5295417,260.55,4.8,5.4,-0.6,0,-0.01,0.01,0.33,50.7,-1.65,-8.11,59.68,44.99,0.58,0.63,1.22,1,10.45,-16.5,6.21,0.48,0.55,0.05,-0.02,0.04,26.37,27.27,0.31,0.32,29.1,21.25,26.89,0.41,0.23,26,0.29,25041,37286,42797,37897,31882,-0.41,-0.52,-231301,1.1,0.12,41.61,1.9,-15935.18,1.7,10828.61,4144,20618136,15.6,0.3,3276,10757,-2798,-4951,1651243,9787,14738,0.27
2018/9/18,254.5,1,40.6778,0,6210327,260.25,4.17,5.15,-0.98,-0.01,-0.02,-0.01,0.32,48.52,-2.45,-42.12,27.16,25.85,0.58,0.63,0.96,-3,8.5,-19.5,5.82,0.41,0.5,0.05,-0.01,0.03,26.41,-25,0.26,0.31,26.87,25.38,24.49,0.29,0.03,22.5,0.28,34381,35166,42090,38923,31737,-0.18,-0.51,-265682,-3.71,-0.18,18.22,1.31,-22920.67,1.68,10760.21,6078,20624055,15.3,0.28,3079,11167,-3947,-5630,1645613,10669,16299,0.27
2018/9/19,258,1,40.4919,1,8814246,259.65,3.89,4.9,-1.01,0,-0.01,0,0.26,47.42,-2.35,-13.03,50.77,38.57,0.58,0.67,0.94,-6,5.7,-28,5.57,0.5,0.54,0.05,0,0.03,26.29,100,0.21,0.29,29.77,22.71,23.38,0.31,0.16,26,0.3,69979,41479,43817,41788,32222,0.6,1.03,-195703,1.29,-0.49,44.88,1.41,-23326.33,1.7,10857.27,18703,20642758,15.6,0.29,3315,11302,2475,3587,1649200,23004,19417,0.27
2018/9/20,260,1,40.9195,1,6393206,259.55,3.75,4.67,-0.92,0.01,0,0.01,0.28,47.74,-1.25,-1.82,56.23,42.93,0.58,0.67,1.02,-1,3.95,-17.5,5.18,0.55,0.57,0.05,0.01,0.03,26.18,87.5,0.18,0.28,30.37,20.94,22.88,0.37,0.35,28.5,0.31,35577,41002,43397,42706,32168,-0.18,-0.14,-160126,1.12,-0.86,60.15,2.05,8894.25,1.71,10831.41,13953,20669810,15.45,0.31,3399,10989,-1327,1597,1650797,18886,17289,0.27
2018/9/21,261.5,1,41.0589,0,4727951,259.3,3.67,4.47,-0.8,0.01,0.01,0.01,0.24,48.87,-0.9,4.49,57.13,44.21,0.58,0.71,0.89,-2.5,1.65,-23,5.14,0.59,0.58,0.04,-0.01,0.02,26.13,42.86,0.16,0.27,28.23,19.46,22.43,0.52,0.69,32,0.33,36501,40296,42572,43758,32162,-0.14,-0.31,-123625,0.24,-0.66,75.57,1.99,36501,1.72,10972.41,6420,20676230,15.85,0.31,3434,11090,-3352,1028,1651825,16237,15209,0.27
